ATP5MC2	ATP5F1A
ATP5MC2	ATP5PF
ATP5MC3	ATP5F1D
ATP5MC3	ATP5F1E
ATP5MC3	ATP5F1B
ATP5MC3	COX5A
ATP5MC3	UQCRFS1
ATP5MC3	MT-ATP8
ATP5MC3	ATP5PO
ATP5MC3	ATP5PF
ATP5MC3	ATP5MC2
ATP5MC3	ATP5PD
ATP5MC3	MT-ATP6
ATP5MC3	ATP5F1A
ATP5MC3	ATP5MC1
ATP5MC3	ATP5F1C
ATP5MC3	ATP5PB
ATP5PB	UQCRC1
ATP5PB	ATP5F1D
ATP5PB	ATP5F1E
ATP5PB	NDUFB5
ATP5PB	ATP5F1B
ATP5PB	UQCRC2
ATP5PB	ATP5MC3
ATP5PB	ATP5PO
ATP5PB	ATP5PD
ATP5PB	UQCRFS1
ATP5PB	CYC1
ATP5PB	COX5A
ATP5PB	NDUFV2
ATP5PB	NDUFA12
ATP5PB	ATP5F1C
ATP5PB	MT-ATP6
ATP5PB	MT-ATP8
ATP5PB	NDUFB6
ATP5PB	COX4I1
ATP5PB	UQCRB
ATP5PB	ATP5MC2
ATP5PB	ATP5F1A
ATP5PB	ATP5PF
ATP5PB	ATP5MC1
ATP5PD	ATP5F1D
ATP5PD	ATP5F1E
ATP5PD	NDUFA2
ATP5PD	COX5B
ATP5PD	NDUFB5
ATP5PD	ATP5F1B
ATP5PD	NDUFS3
ATP5PD	NDUFB10
ATP5PD	NDUFS6
ATP5PD	NDUFB9
ATP5PD	ATP5MC3
ATP5PD	ATP5PO
ATP5PD	NDUFS4
ATP5PD	NDUFB8
ATP5PD	NDUFA7
ATP5PD	NDUFV2
ATP5PD	UQCRH
ATP5PD	NDUFA13
ATP5PD	SDHB
ATP5PD	COX7A2
ATP5PD	NDUFB6
ATP5PD	NDUFB3
ATP5PD	UQCR11
ATP5PD	NDUFA6
ATP5PD	NDUFA5
ATP5PD	COX4I1
ATP5PD	UQCR10
ATP5PD	COX7C
ATP5PD	NDUFA12
ATP5PD	UQCRQ
ATP5PD	NDUFA8
ATP5PD	COX6C
ATP5PD	UQCRB
ATP5PD	COX5A
ATP5PD	ATP5MC2
ATP5PD	MT-ATP8
ATP5PD	ATP5PB
ATP5PD	ATP5F1C
ATP5PD	ATP5PF
ATP5PD	ATP5MC1
ATP5PD	ATP5F1A
ATP5PD	MT-ATP6
ATP5PF	ATP5F1D
ATP5PF	ATP5F1E
ATP5PF	NDUFB5
ATP5PF	ATP5F1B
ATP5PF	NDUFS3
ATP5PF	NDUFB9
ATP5PF	ATP5MC3
ATP5PF	ATP5PO
ATP5PF	NDUFA7
ATP5PF	ATP5PD
ATP5PF	COX5A
ATP5PF	NDUFV2
ATP5PF	NDUFA12
ATP5PF	NDUFA4
ATP5PF	ATP5F1C
ATP5PF	MT-ATP6
ATP5PF	MT-ATP8
ATP5PF	ATP5PB
ATP5PF	COX7A2
ATP5PF	UQCRQ
ATP5PF	NDUFB6
ATP5PF	ATP5MC1
ATP5PF	ATP5F1A
ATP5PF	COX6C
ATP5PF	NDUFA13
ATP5PF	UQCRB
ATP5PF	UQCR11
ATP5PF	NDUFB3
ATP5PF	NDUFA6
ATP5PF	COX7C
ATP5PF	NDUFA5
ATP5PF	ATP5MC2
ATP5PO	ATP5F1D
ATP5PO	PPIF
ATP5PO	ATP5F1E
ATP5PO	COX5B
ATP5PO	ATP5F1B
ATP5PO	NDUFS3
ATP5PO	UQCRC2
ATP5PO	ATP5MC3
ATP5PO	NDUFA12
ATP5PO	CYC1
ATP5PO	NDUFV2
ATP5PO	COX7C
ATP5PO	UQCRFS1
ATP5PO	UQCRB
ATP5PO	COX5A
ATP5PO	NDUFS4
ATP5PO	PPID
ATP5PO	ATP5MC2
ATP5PO	ATP5MC1
ATP5PO	MT-ATP8
ATP5PO	ATP5PF
ATP5PO	ATP5F1A
ATP5PO	MT-ATP6
ATP5PO	ATP5PD
ATP5PO	ATP5PB
ATP5PO	ATP5F1C
AXIN1	DVL2
AXIN1	APC
AXIN1	LRP6
AXIN1	AKT1
AXIN1	WNT1
AXIN1	FZD1
AXIN1	CSNK1A1L
AXIN1	WNT3A
AXIN1	DVL3
AXIN1	FRAT1
AXIN1	CSNK1E
AXIN1	APC2
AXIN1	CTNNB1
AXIN1	DVL1
AXIN1	AXIN2
AXIN1	GSK3B
AXIN1	LRP5
AXIN2	DVL2
AXIN2	APC
AXIN2	AXIN1
AXIN2	CSNK1E
AXIN2	CSNK1A1L
AXIN2	DVL3
AXIN2	APC2
AXIN2	DVL1
AXIN2	GSK3B
AXIN2	CTNNB1
BACE1	ADAM10
BACE1	APP
BACE1	BACE2
BACE1	PSEN1
BACE1	RTN3
BACE1	RTN4
BACE2	BACE1
BACE2	RTN4
BACE2	RTN3
BAD	MAPK1
BAD	PPP3R1
BAD	MAPK3
BAD	MAP2K1
BAD	AKT2
BAD	PPP3CB
BAD	PPP3CA
BAD	PPP3R2
BAD	PPP3CC
BAD	MAPK9
BAD	AKT3
BAD	MAPK8
BAD	RAF1
BAD	AKT1
BECN1	RB1CC1
BECN1	ATG14
BECN1	TRAF2
BECN1	PIK3C3
BECN1	WIPI1
BECN1	NRBF2
BECN1	WIPI2
BECN1	IRS1
BECN1	ITPR1
BECN1	CASP3
BECN1	ULK1
BECN1	CASP9
BECN1	ATG101
BECN1	PIK3R4
BECN1	CASP8
BECN1	AKT1
BECN1	BECN2
BECN1	ITPR3
BECN1	ULK2
BECN2	RB1CC1
BECN2	ATG14
BECN2	PIK3C3
BECN2	NRBF2
BECN2	ITPR1
BECN2	ULK1
BECN2	ATG101
BECN2	PIK3R4
BECN2	BECN1
BECN2	ULK2
BID	CAPN2
BID	FADD
BID	MAPK9
BID	CAPN1
BID	MAPK8
BID	CASP8
BRAF	MAPK1
BRAF	KRAS
BRAF	MAP2K2
BRAF	MAPK3
BRAF	PIK3CA
BRAF	ARAF
BRAF	MAP2K1
BRAF	GSK3B
BRAF	NRAS
BRAF	RAF1
BRAF	HRAS
CACNA1C	PPP3CC
CACNA1C	PPP3CB
CACNA1C	NOS1
CACNA1C	PPP3CA
CACNA1C	INS
CACNA1C	CACNA1F
CACNA1C	CACNA1D
CACNA1C	CACNA1S
CACNA1C	CALML3
CACNA1C	CALML6
CACNA1C	CALML5
CACNA1C	CALM3
CACNA1C	CALML4
CACNA1D	CACNA1C
CACNA1D	PPP3CB
CACNA1D	PPP3CC
CACNA1D	PPP3CA
CACNA1D	NOS1
CACNA1D	INS
CACNA1D	CACNA1S
CACNA1D	CACNA1F
CACNA1D	CALML4
CACNA1D	CALML6
CACNA1D	CALML5
CACNA1D	CALML3
CACNA1D	CALM3
CACNA1F	CACNA1C
CACNA1F	CACNA1D
CACNA1F	CACNA1S
CACNA1S	CACNA1C
CACNA1S	CACNA1D
CACNA1S	CALM3
CACNA1S	CALML3
CACNA1S	CALML5
CACNA1S	CACNA1F
CALM3	PPP3R1
CALM3	KRAS
CALM3	PIK3C3
CALM3	CACNA1C
CALM3	CACNA1D
CALM3	GRIN2A
CALM3	GRIN2B
CALM3	ITPR2
CALM3	PPP3CC
CALM3	NRAS
CALM3	HRAS
CALM3	ITPR1
CALM3	ITPR3
CALM3	PPP3CB
CALM3	CACNA1S
CALM3	SNCA
CALM3	CALML4
CALM3	RYR3
CALM3	GRIN1
CALM3	CALML5
CALM3	CALML3
CALM3	CALML6
CALM3	PPP3CA
CALM3	NOS2
CALM3	NOS1
CALML3	PPP3R1
CALML3	KRAS
CALML3	PIK3C3
CALML3	CACNA1C
CALML3	CACNA1D
CALML3	CALM3
CALML3	CALML6
CALML3	ITPR1
CALML3	CACNA1S
CALML3	GRIN2B
CALML3	SNCA
CALML3	ITPR2
CALML3	PPP3CC
CALML3	NRAS
CALML3	GRIN1
CALML3	HRAS
CALML3	CALML4
CALML3	RYR3
CALML3	CALML5
CALML3	PPP3CB
CALML3	ITPR3
CALML3	NOS2
CALML3	PPP3CA
CALML3	NOS1
CALML4	PPP3R1
CALML4	KRAS
CALML4	PIK3C3
CALML4	CACNA1C
CALML4	CACNA1D
CALML4	CALM3
CALML4	CALML6
CALML4	ITPR1
CALML4	CALML3
CALML4	NOS2
CALML4	NRAS
CALML4	GRIN1
CALML4	ITPR3
CALML4	CALML5
CALML4	ITPR2
CALML4	PPP3CB
CALML4	PPP3CA
CALML4	PPP3CC
CALML4	HRAS
CALML4	GRIN2B
CALML4	SNCA
CALML4	RYR3
CALML4	NOS1
CALML5	PPP3R1
CALML5	KRAS
CALML5	PIK3C3
CALML5	CACNA1C
CALML5	CACNA1D
CALML5	CALM3
CALML5	CALML6
CALML5	ITPR1
CALML5	CALML3
CALML5	NOS2
CALML5	CACNA1S
CALML5	NRAS
CALML5	GRIN1
CALML5	ITPR3
CALML5	GRIN2B
CALML5	SNCA
CALML5	ITPR2
CALML5	PPP3CC
CALML5	HRAS
CALML5	CALML4
CALML5	RYR3
CALML5	PPP3CB
CALML5	PPP3CA
CALML5	NOS1
CALML6	PPP3R1
CALML6	KRAS
CALML6	PIK3C3
CALML6	CACNA1C
CALML6	CACNA1D
CALML6	CALM3
CALML6	GRIN2B
CALML6	SNCA
CALML6	ITPR2
CALML6	PPP3CC
CALML6	RYR3
CALML6	NRAS
CALML6	GRIN1
CALML6	HRAS
CALML6	CALML4
CALML6	CALML3
CALML6	CALML5
CALML6	PPP3CB
CALML6	ITPR3
CALML6	ITPR1
CALML6	NOS2
CALML6	PPP3CA
CALML6	NOS1
CAPN1	IL1A
CAPN1	CAPN2
CAPN1	CDK5R1
CAPN1	BID
CAPN2	IL1A
CAPN2	CDK5R1
CAPN2	BID
CAPN2	CAPN1
CASP3	MAPK1
CASP3	MAPK3
CASP3	APP
CASP3	FADD
CASP3	CYCS
CASP3	FAS
