node1	node2
PDGFRB	PIK3CA
PDGFRB	EGF
PDGFRB	EGFR
PDGFRB	PDGFA
PDGFRB	PDGFB
PDGFRB	PIK3R1
PDGFRB	PDGFD
PDGFRB	PDGFC
PIK3CA	PIK3R2
PIK3CA	KRAS
PIK3CA	PDGFRA
PIK3CA	PDGFRB
PIK3CA	PIK3R3
PIK3CA	TP53
PIK3CA	BRAF
PIK3CA	MET
PIK3CA	RAF1
PIK3CA	FGFR1
PIK3CA	IGF1R
PIK3CA	AKT3
PIK3CA	AKT2
PIK3CA	HRAS
PIK3CA	PTEN
PIK3CA	NRAS
PIK3CA	PIK3CD
PIK3CA	PIK3CB
PIK3CA	AKT1
PIK3CA	EGFR
PIK3CA	PIK3R1
PIK3CB	PIK3R2
PIK3CB	KRAS
PIK3CB	PDGFRA
PIK3CB	PDGFRB
PIK3CB	PIK3R3
PIK3CB	PIK3CA
PIK3CB	EGFR
PIK3CB	MET
PIK3CB	NRAS
PIK3CB	PTEN
PIK3CB	PIK3CD
PIK3CB	AKT2
PIK3CB	FGFR1
PIK3CB	RAF1
PIK3CB	HRAS
PIK3CB	PIK3R1
PIK3CB	AKT1
PIK3CB	IGF1R
PIK3CB	AKT3
PIK3CD	PIK3R2
PIK3CD	KRAS
PIK3CD	PDGFRA
PIK3CD	PDGFRB
PIK3CD	PIK3R3
PIK3CD	PIK3CA
PIK3CD	EGFR
PIK3CD	MET
PIK3CD	NRAS
PIK3CD	PTEN
PIK3CD	FGFR1
PIK3CD	RAF1
PIK3CD	IGF1R
PIK3CD	AKT3
PIK3CD	AKT2
PIK3CD	HRAS
PIK3CD	AKT1
PIK3CD	PIK3CB
PIK3CD	PIK3R1
PIK3R1	PIK3R2
PIK3R1	KRAS
PIK3R1	PDGFRA
PIK3R1	PDGFRB
PIK3R1	PIK3R3
PIK3R1	PIK3CA
PIK3R1	EGF
PIK3R1	EGFR
PIK3R1	NRAS
PIK3R1	PTEN
PIK3R1	PIK3CD
PIK3R1	AKT2
PIK3R1	FGFR1
PIK3R1	RAF1
PIK3R1	HRAS
PIK3R1	AKT3
PIK3R1	IGF1R
PIK3R1	AKT1
PIK3R1	PIK3CB
PIK3R2	RAF1
PIK3R2	HRAS
PIK3R2	NRAS
PIK3R2	PDGFRA
PIK3R2	KRAS
PIK3R2	FGFR1
PIK3R2	AKT2
PIK3R2	IGF1R
PIK3R2	AKT3
PIK3R2	AKT1
PIK3R2	PDGFRB
PIK3R2	PTEN
PIK3R2	EGFR
PIK3R2	PIK3R3
PIK3R2	PIK3R1
PIK3R2	PIK3CB
PIK3R2	PIK3CD
PIK3R2	PIK3CA
PIK3R3	PIK3R2
PIK3R3	KRAS
PIK3R3	PDGFRA
PIK3R3	PDGFRB
PIK3R3	RAF1
PIK3R3	HRAS
PIK3R3	NRAS
PIK3R3	FGFR1
PIK3R3	AKT2
PIK3R3	PTEN
PIK3R3	AKT1
PIK3R3	AKT3
PIK3R3	IGF1R
PIK3R3	EGFR
PIK3R3	PIK3R1
PIK3R3	PIK3CA
PIK3R3	PIK3CD
PIK3R3	PIK3CB
POLK	TP53
PTEN	PIK3R2
PTEN	KRAS
PTEN	MDM2
PTEN	CDH1
PTEN	PDGFRB
PTEN	PIK3R3
PTEN	PIK3CA
PTEN	TP53
PTEN	EGFR
PTEN	CDKN2A
PTEN	BRAF
PTEN	PIK3CD
PTEN	PIK3CB
PTEN	AKT1
PTEN	PIK3R1
RAF1	MAPK1
RAF1	PIK3R2
RAF1	KRAS
RAF1	PIK3R3
RAF1	MAP2K2
RAF1	MAPK3
RAF1	PIK3CA
RAF1	ARAF
RAF1	MAP2K1
RAF1	NRAS
RAF1	PIK3CD
RAF1	AKT2
RAF1	BAD
RAF1	AKT3
RAF1	PIK3CB
RAF1	PIK3R1
RAF1	AKT1
RAF1	HRAS
RAF1	BRAF
RB1	CCND1
RB1	CDK4
RB1	MDM2
RB1	E2F3
RB1	CDK6
RB1	TP53
RB1	E2F1
RB1	E2F2
TP53	GADD45B
TP53	MAPK1
TP53	CCND1
TP53	POLK
TP53	GADD45G
TP53	KRAS
TP53	DDB2
TP53	CDK4
TP53	MDM2
TP53	MAPK3
TP53	PIK3CA
TP53	RB1
TP53	HRAS
TP53	EGFR
TP53	AKT3
TP53	AKT2
TP53	E2F1
TP53	GADD45A
TP53	BAX
TP53	AKT1
TP53	BAK1
TP53	CDKN1A
TP53	CDKN2A
TP53	PTEN
